station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,6,57.26239575464916,38.59911748952584,12679651894.776144,0.7414661943026374
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,7,61.17948339162724,42.30264928062745,19784486917.429302,0.7048859258698474
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,1,17.30958624606093,11.692963791961246,10016392072.856178,0.9613333964716712
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,2,21.427397116613818,14.223139959522536,2299944035.5336685,0.9407482081610549
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,3,26.20407964026614,17.660621035785052,3415985728.1395564,0.9113554063257677
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,4,30.755416321375836,20.890076705184327,6670350672.130771,0.8778881944571961
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,5,33.27499304852002,22.94009741172783,10511893596.604967,0.8570611185958693
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,6,36.298831449779435,25.101471154804486,10006561375.255041,0.8299017988731909
XYB,mlp,with_limit,XYB_ACTIVE_POWER_BING,7,40.66764779691352,28.337579386473475,8521308336.842624,0.7864927928499256
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,1,16.122960535291387,10.756577258639647,4173404893.0279865,0.965041364339519
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,2,23.030746102567353,15.861625593337353,6726641713.459429,0.9286685736646857
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,3,27.325047545040555,19.17018147910047,9859349315.739693,0.8995655743891058
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,4,32.857703027428336,22.386104179691095,3392674360.4250045,0.8547770857273124
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,5,37.55341935544274,26.025087824389107,6724215998.275285,0.8103033237142334
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,6,40.520323727299754,28.29021365619006,7700121159.120862,0.7791453434908765
XYB,mlp,with_limit,XYB_ACTIVE_POWER_DING,7,41.0571899128754,28.254016136662287,7353589960.588975,0.7732542317146323
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,1,15.406591543669677,10.152063264621123,4785582526.493286,0.9712749531515111
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,2,22.493885022951364,14.978480549851916,7733987095.195539,0.9387682671736411
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,3,28.38691206206005,19.746356010172043,18239344973.614933,0.902432332396407
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,4,33.6158175639395,22.691843496876288,12120719108.358816,0.863177672318732
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,5,38.7120434363328,26.988821668614715,21365341184.855236,0.8185479784076062
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,6,40.52595932982381,27.2481045625204,11581795893.22124,0.801145132097186
XYB,mlp,with_limit,XYB_ACTIVE_POWER_WU,7,42.64751281843645,28.763645235309237,11711880866.913422,0.7797798596199492
XYB,mlp,with_limit,XYB_ACTIVE_POWER_STATION,1,42.59458065839822,27.731676464174857,10672563850.990726,0.9735700144366987
XYB,mlp,with_limit,XYB_ACTIVE_POWER_STATION,2,75.09939758979677,49.65654423812643,32460824474.54973,0.9178398660640126
XYB,mlp,with_limit,XYB_ACTIVE_POWER_STATION,3,91.53774679833879,61.45135421208419,27130040297.563946,0.8778899709783969
XYB,mlp,with_limit,XYB_ACTIVE_POWER_STATION,4,101.85606709154136,67.82960446262207,7103910142.586012,0.8488094300060769
